customer_id,first_name,last_name,email,signup_date,age,gender,city,country
C100001,Taylor,Martinez,user1@example.com,2025-03-10,57,Female,New York,United Kingdom
C100002,Cameron,Johnson,user2@example.com,2025-10-31,53,Female,Los Angeles,United States
C100003,Riley,Wilson,user3@example.com,2025-09-10,36,Male,San Francisco,United Kingdom
C100004,Avery,Smith,user4@example.com,2023-03-02,56,Female,Seattle,United Kingdom
C100005,Riley,Martinez,user5@example.com,2024-02-10,44,Male,Atlanta,Australia
C100006,Chris,Martinez,user6@example.com,2023-09-27,57,Male,Dallas,United States
C100007,Taylor,Garcia,user7@example.com,2023-01-27,31,Female,San Francisco,United States
C100008,Jordan,Garcia,user8@example.com,2025-03-21,42,Female,Houston,Canada
C100009,Jordan,Smith,user9@example.com,2023-03-11,61,Female,San Francisco,Canada
C100010,Robin,Anderson,user10@example.com,2024-12-09,41,Female,Atlanta,Australia
C100011,Chris,Taylor,user11@example.com,2023-10-10,40,Male,Chicago,United Kingdom
C100012,Jamie,Garcia,user12@example.com,2025-01-14,46,Male,Los Angeles,Canada
C100013,Alex,Johnson,user13@example.com,2023-11-21,50,Male,Seattle,Canada
C100014,Chris,Davis,user14@example.com,2025-06-13,25,Male,Houston,United States
C100015,Pat,Lee,user15@example.com,2023-08-04,46,Male,Houston,United States
C100016,Morgan,Brown,user16@example.com,2024-02-03,59,Male,Miami,Canada
C100017,Robin,Lee,user17@example.com,2022-11-22,53,Male,Boston,United States
C100018,Riley,Lee,user18@example.com,2023-07-11,31,Male,Chicago,Australia
C100019,Jordan,Brown,user19@example.com,2024-11-17,64,Female,Houston,Canada
C100020,Cameron,Garcia,user20@example.com,2025-03-06,26,Female,Boston,United States
C100021,Sam,Smith,user21@example.com,2024-02-18,29,Male,Houston,Australia
C100022,Avery,Brown,user22@example.com,2025-10-18,64,Female,Los Angeles,United States
C100023,Jordan,Taylor,user23@example.com,2024-03-25,36,Female,Boston,United States
C100024,Robin,Taylor,user24@example.com,2024-09-30,45,Male,Atlanta,United States
C100025,Riley,Thomas,user25@example.com,2025-07-03,40,Female,Miami,Canada
C100026,Robin,Lopez,user26@example.com,2023-05-09,47,Female,Los Angeles,United Kingdom
C100027,Morgan,Anderson,user27@example.com,2025-06-15,21,Female,Atlanta,United States
C100028,Riley,Davis,user28@example.com,2024-09-17,62,Male,Seattle,Australia
C100029,Drew,Wilson,user29@example.com,2025-06-15,20,Female,Chicago,Canada
C100030,Sam,Garcia,user30@example.com,2024-05-16,55,Male,Chicago,Canada
C100031,Chris,Anderson,user31@example.com,2025-02-09,45,Female,Dallas,Australia
C100032,Drew,Brown,user32@example.com,2024-08-08,48,Female,Dallas,United States
C100033,Taylor,Lopez,user33@example.com,2022-11-21,40,Female,Boston,United Kingdom
C100034,Cameron,Wilson,user34@example.com,2025-02-18,30,Female,Chicago,United States
C100035,Sam,Davis,user35@example.com,2023-04-16,59,Female,Boston,Australia
C100036,Riley,Davis,user36@example.com,2023-11-23,30,Male,Dallas,Canada
C100037,Riley,Garcia,user37@example.com,2024-06-23,55,Male,Seattle,United Kingdom
C100038,Pat,Brown,user38@example.com,2023-09-12,58,Female,Houston,Canada
C100039,Lee,Anderson,user39@example.com,2022-11-14,59,Male,Atlanta,Australia
C100040,Pat,Smith,user40@example.com,2023-06-30,54,Male,San Francisco,United States
C100041,Casey,Anderson,user41@example.com,2024-12-16,53,Male,Boston,United Kingdom
C100042,Pat,Anderson,user42@example.com,2024-05-18,43,Male,Seattle,Canada
C100043,Alex,Davis,user43@example.com,2025-04-16,41,Female,Atlanta,Canada
C100044,Taylor,Smith,user44@example.com,2023-01-31,24,Female,Chicago,Canada
C100045,Drew,Smith,user45@example.com,2025-06-13,52,Female,Houston,United States
C100046,Morgan,Garcia,user46@example.com,2024-03-23,55,Female,Atlanta,United Kingdom
C100047,Drew,Wilson,user47@example.com,2024-12-15,39,Male,Miami,United States
C100048,Drew,Martinez,user48@example.com,2022-12-05,38,Male,Dallas,United States
C100049,Sam,Lee,user49@example.com,2023-05-25,54,Female,Atlanta,United States
C100050,Riley,Lee,user50@example.com,2025-08-22,62,Male,San Francisco,Australia
C100051,Casey,Davis,user51@example.com,2025-08-18,36,Female,Seattle,Australia
C100052,Casey,Martinez,user52@example.com,2024-05-19,64,Female,Houston,Australia
C100053,Morgan,Wilson,user53@example.com,2024-10-03,62,Male,Los Angeles,United Kingdom
C100054,Taylor,Martinez,user54@example.com,2023-12-07,53,Female,Atlanta,United States
C100055,Sam,Garcia,user55@example.com,2024-10-30,28,Female,New York,United States
C100056,Jordan,Anderson,user56@example.com,2023-04-11,45,Female,San Francisco,Australia
C100057,Robin,Davis,user57@example.com,2023-05-21,21,Male,San Francisco,United States
C100058,Pat,Smith,user58@example.com,2025-07-23,28,Male,New York,United States
C100059,Robin,Taylor,user59@example.com,2023-07-28,28,Female,Miami,Canada
C100060,Robin,Davis,user60@example.com,2025-01-24,59,Male,Los Angeles,United States
C100061,Chris,Lee,user61@example.com,2024-01-30,36,Male,Dallas,Canada
C100062,Robin,Wilson,user62@example.com,2025-08-13,20,Female,Seattle,United States
